CUSTOMER_NUMBER,ACCOUNT_NUMBER,CUSTOMER_SEGMENT,ACTION_DATE,ACTION_STRATEGY,DPD_OF_ACTION,COLLECTOR_CODE,SUCCESSFUL_ACTION
CN37350593,5369548335,S2,09-02-2000,ACT1,1-10,C5,0
CN81310820,2449787110,S2,19-08-2000,ACT2,1-10,C6,1
CN59681694,3216001376,S2,28-08-2000,ACT3,1-10,C7,1
CN57393485,8500637342,S2,27-06-2000,ACT4,1-10,C8,0
CN62352004,4581597209,S2,14-07-2000,ACT5,1-10,C9,0
CN57692906,5833347965,S2,29-09-2000,ACT1,1-10,C10,1
CN47376486,4887959934,S2,04-03-2000,ACT2,1-10,C1,1
CN82461662,7079059255,S2,17-04-2000,ACT3,1-10,C2,0
CN51903439,5523416242,S2,28-06-2000,ACT4,1-10,C3,1
CN33166559,9417738038,S2,15-05-2000,ACT5,1-10,C4,0
CN60246236,6144346890,S2,09-02-2000,ACT1,1-10,C5,0
CN60836071,2327793194,S2,19-08-2000,ACT2,1-10,C6,1
CN47792923,4563458849,S2,28-08-2000,ACT3,1-10,C7,1
CN27032236,3609999975,S2,27-06-2000,ACT4,1-10,C8,0
CN53701368,4677045138,S2,14-07-2000,ACT5,1-10,C9,0
CN99228858,3044493961,S2,29-09-2000,ACT1,1-10,C10,1
CN97231865,5787560784,S2,04-03-2000,ACT2,1-10,C1,1
CN67597521,3123426217,S2,17-04-2000,ACT3,1-10,C2,1
CN91738871,2924411011,S2,28-06-2000,ACT4,1-10,C3,1
CN23618153,7591505659,S2,15-05-2000,ACT5,1-10,C4,0
CN59125159,5366922495,S2,09-02-2000,ACT1,1-10,C5,0
CN94449665,9660561521,S2,19-08-2000,ACT2,1-10,C6,1
CN45811461,9521450265,S2,28-08-2000,ACT3,1-10,C7,0
CN59514829,2637348530,S2,27-06-2000,ACT4,1-10,C8,0
CN94775090,3657125278,S2,14-07-2000,ACT5,1-10,C9,0
CN69486238,7261051397,S2,29-09-2000,ACT1,1-10,C10,1
CN42885457,9632889368,S2,04-03-2000,ACT2,1-10,C1,1
CN97029153,3147177303,S2,17-04-2000,ACT3,1-10,C2,0
CN89206923,7743092141,S2,28-06-2000,ACT4,1-10,C3,1
CN38407227,3499508435,S2,15-05-2000,ACT5,1-10,C4,0
CN88652564,3198234997,S2,09-02-2000,ACT1,1-10,C5,0
CN74353080,9768951833,S2,19-08-2000,ACT2,1-10,C6,1
CN40592538,2624556615,S2,28-08-2000,ACT3,1-10,C7,0
CN22997603,3929972895,S2,27-06-2000,ACT4,1-10,C8,0
CN26524618,7169090828,S2,14-07-2000,ACT5,1-10,C9,0
CN27788082,3370534782,S2,29-09-2000,ACT1,1-10,C10,1
CN98358748,9924865390,S2,04-03-2000,ACT2,1-10,C1,1
CN48151070,4597694904,S2,17-04-2000,ACT3,1-10,C2,1
CN92376564,6613176545,S2,28-06-2000,ACT4,1-10,C3,1
CN63457031,6348358906,S2,15-05-2000,ACT5,1-10,C4,0
CN71652842,9896957590,S2,09-02-2000,ACT1,1-10,C5,0
CN89213017,9970782166,S2,19-08-2000,ACT2,1-10,C6,1
CN61423117,7574990671,S2,28-08-2000,ACT3,1-10,C7,1
CN74611166,4660162343,S2,27-06-2000,ACT4,1-10,C8,0
CN33594124,7993897159,S2,14-07-2000,ACT5,1-10,C9,0
CN24643316,8231768304,S2,29-09-2000,ACT1,1-10,C10,1
CN69800455,7929758113,S2,04-03-2000,ACT2,1-10,C1,1
CN87395110,7527706782,S2,17-04-2000,ACT3,1-10,C2,0
CN68087373,7430036068,S2,28-06-2000,ACT4,1-10,C3,1
CN25245513,3484566151,S2,15-05-2000,ACT5,1-10,C4,0
CN27944467,8989741606,S2,09-02-2000,ACT1,1-10,C5,0
CN65479578,6762493120,S2,19-08-2000,ACT2,1-10,C6,1
CN30188048,9201865759,S2,28-08-2000,ACT3,1-10,C7,1
CN93274830,5832318125,S2,27-06-2000,ACT4,1-10,C8,0
CN40062887,3451212655,S2,14-07-2000,ACT5,1-10,C9,0
CN73168406,3169789255,S2,29-09-2000,ACT1,1-10,C10,1
CN57815930,3867672492,S2,04-03-2000,ACT2,1-10,C1,1
CN49700426,8259499789,S2,17-04-2000,ACT3,1-10,C2,0
CN64196557,5564084011,S2,28-06-2000,ACT4,1-10,C3,1
CN33814585,6689931773,S2,15-05-2000,ACT5,1-10,C4,0
CN86732068,7633419896,S2,09-02-2000,ACT1,1-10,C5,0
CN55598856,8433629796,S2,19-08-2000,ACT2,1-10,C6,1
CN68757073,6185866171,S2,28-08-2000,ACT3,1-10,C7,1
CN73052579,5202403401,S2,27-06-2000,ACT4,1-10,C8,0
CN38825993,3748153871,S2,14-07-2000,ACT5,1-10,C9,0
CN54775522,3820344429,S2,29-09-2000,ACT1,1-10,C10,1
CN53134793,3510377245,S2,04-03-2000,ACT2,1-10,C1,1
CN60128700,5513628205,S2,17-04-2000,ACT3,1-10,C2,0
CN25600358,6302707067,S2,28-06-2000,ACT4,1-10,C3,1
CN48859470,4468482783,S2,15-05-2000,ACT5,1-10,C4,0
CN57008601,4220656609,S2,09-02-2000,ACT1,1-10,C5,0
CN68625190,5842533201,S2,19-08-2000,ACT2,1-10,C6,1
CN88347246,7677345197,S2,28-08-2000,ACT3,1-10,C7,1
CN58902749,2258463333,S2,27-06-2000,ACT4,1-10,C8,0
CN36352365,7627743794,S3,14-07-2000,ACT1,1-10,C9,0
CN70326026,3564823252,S3,29-09-2000,ACT2,1-10,C10,1
CN97416288,8469619190,S3,04-03-2000,ACT3,1-10,C1,1
CN82880087,7915434048,S3,17-04-2000,ACT4,1-10,C2,1
CN42347540,6250747324,S3,28-06-2000,ACT5,1-10,C3,1
CN62349814,8552572198,S3,15-05-2000,ACT1,1-10,C4,0
CN37934060,7437375954,S3,09-02-2000,ACT2,1-10,C5,0
CN88999358,3519480473,S3,19-08-2000,ACT3,1-10,C6,1
CN51026412,7413778860,S3,28-08-2000,ACT4,1-10,C7,0
CN92475456,9268930671,S3,27-06-2000,ACT5,1-10,C8,0
CN26640474,3660739513,S3,14-07-2000,ACT1,1-10,C9,0
CN39683351,6705488792,S3,29-09-2000,ACT2,1-10,C10,1
CN80643327,6547286851,S3,04-03-2000,ACT3,1-10,C1,1
CN29194776,6250887831,S3,17-04-2000,ACT4,1-10,C2,1
CN74737135,5069097581,S3,28-06-2000,ACT5,1-10,C3,1
CN76315928,3918981792,S3,15-05-2000,ACT1,1-10,C4,0
CN47748721,3404080314,S3,09-02-2000,ACT2,1-10,C5,0
CN39104296,2762831029,S3,19-08-2000,ACT3,1-10,C6,1
CN51532246,3570333064,S3,28-08-2000,ACT4,1-10,C7,0
CN90019581,2993507780,S3,27-06-2000,ACT5,1-10,C8,0
CN32577620,6568907149,S3,14-07-2000,ACT1,1-10,C9,0
CN39630275,5451591071,S3,29-09-2000,ACT2,1-10,C10,1
CN81751009,2481617482,S3,04-03-2000,ACT3,1-10,C1,1
CN42738658,7872410900,S3,17-04-2000,ACT4,1-10,C2,0
CN67017505,4995932960,S3,28-06-2000,ACT5,1-10,C3,1
CN54751969,2520672826,S3,15-05-2000,ACT1,1-10,C4,0
CN26203769,4030850420,S3,09-02-2000,ACT2,1-10,C5,0
CN80215492,6130499647,S3,19-08-2000,ACT3,1-10,C6,1
CN53826461,6556627871,S3,28-08-2000,ACT4,1-10,C7,1
CN92889059,4901031526,S3,27-06-2000,ACT5,1-10,C8,0
CN69710923,5585103214,S3,14-07-2000,ACT1,1-10,C9,0
CN30734370,4420225101,S3,29-09-2000,ACT2,1-10,C10,1
CN52016444,6459060584,S3,04-03-2000,ACT3,1-10,C1,1
CN65127800,5230595552,S3,17-04-2000,ACT4,1-10,C2,0
CN37337824,4612431064,S3,28-06-2000,ACT5,1-10,C3,1
CN24025196,5064170665,S3,15-05-2000,ACT1,1-10,C4,0
CN44993614,6880061024,S3,09-02-2000,ACT2,1-10,C5,0
CN45480135,8505622806,S3,19-08-2000,ACT3,1-10,C6,1
CN24810696,7952655095,S3,28-08-2000,ACT4,1-10,C7,1
CN25659909,3073649636,S3,27-06-2000,ACT5,1-10,C8,0
CN45913233,3262908052,S3,14-07-2000,ACT1,1-10,C9,0
CN30739921,7503541578,S3,29-09-2000,ACT2,1-10,C10,1
CN66742859,6336849164,S3,04-03-2000,ACT3,1-10,C1,1
CN41038665,9997516529,S3,17-04-2000,ACT4,1-10,C2,0
CN90509710,9052070093,S3,28-06-2000,ACT5,1-10,C3,1
CN67522083,6734350549,S3,15-05-2000,ACT1,1-10,C4,0
CN62499559,9253694312,S3,09-02-2000,ACT2,1-10,C5,0
CN85838516,7254157745,S3,19-08-2000,ACT3,1-10,C6,1
CN62420298,2980826005,S3,28-08-2000,ACT4,1-10,C7,1
CN61168047,7010978095,S3,27-06-2000,ACT5,1-10,C8,0
CN35356175,3177026350,S3,14-07-2000,ACT1,1-10,C9,0
CN25817208,7683439892,S3,29-09-2000,ACT2,1-10,C10,1
CN29725612,9126713285,S3,04-03-2000,ACT3,1-10,C1,1
CN51829399,8862313132,S3,17-04-2000,ACT4,1-10,C2,0
CN31773406,4186454177,S3,28-06-2000,ACT5,1-10,C3,1
CN99228762,8417030969,S3,15-05-2000,ACT1,1-10,C4,0
CN60871785,4092164062,S3,09-02-2000,ACT2,1-10,C5,0
CN60633465,9298198837,S3,19-08-2000,ACT3,1-10,C6,1
CN46551710,5186580855,S3,28-08-2000,ACT4,1-10,C7,1
CN76670708,6301753611,S3,27-06-2000,ACT5,1-10,C8,0
CN35651370,3400583049,S3,14-07-2000,ACT1,1-10,C9,0
CN42872379,8062563667,S3,29-09-2000,ACT2,1-10,C10,1
CN31539152,9033952759,S3,04-03-2000,ACT3,1-10,C1,1
CN90084925,7959578376,S3,17-04-2000,ACT4,1-10,C2,1
CN47562446,2619317052,S3,28-06-2000,ACT5,1-10,C3,1
CN40563885,4636933231,S3,15-05-2000,ACT1,1-10,C4,0
CN50652040,5760689767,S3,09-02-2000,ACT2,1-10,C5,0
CN29215968,6490291372,S3,19-08-2000,ACT3,1-10,C6,1
CN87678816,6833749630,S3,28-08-2000,ACT4,1-10,C7,1
CN50820512,8855937528,S3,27-06-2000,ACT5,1-10,C8,0
CN72069661,4101113728,S3,14-07-2000,ACT1,1-10,C9,0
CN61057467,5810602827,S3,29-09-2000,ACT2,1-10,C10,1
CN64384715,3285808979,S3,04-03-2000,ACT3,1-10,C1,1
CN67627672,2813471883,S3,17-04-2000,ACT4,1-10,C2,0
CN80792356,5612284566,S3,28-06-2000,ACT5,1-10,C3,1
CN50752499,3740781339,S3,15-05-2000,ACT1,1-10,C4,0
CN92650445,2875562457,S3,09-02-2000,ACT2,1-10,C5,0
CN75982947,9860641809,S3,19-08-2000,ACT3,1-10,C6,1
CN97698090,6350876180,S3,28-08-2000,ACT4,1-10,C7,1
CN77967285,8556621079,S4,27-06-2000,ACT1,1-10,C8,0
CN67367812,7114823493,S4,14-07-2000,ACT2,1-10,C9,0
CN30309528,8441036240,S4,29-09-2000,ACT3,1-10,C10,1
CN81927136,3003551336,S4,04-03-2000,ACT4,1-10,C1,1
CN84684616,7545914895,S4,17-04-2000,ACT5,1-10,C2,1
CN76176232,4018822486,S4,28-06-2000,ACT1,1-10,C3,1
CN88789858,9348763289,S4,15-05-2000,ACT2,1-10,C4,0
CN35271220,3655901575,S4,09-02-2000,ACT3,1-10,C5,0
CN41141847,8460624308,S4,19-08-2000,ACT4,1-10,C6,1
CN52795234,5965760192,S4,28-08-2000,ACT5,1-10,C7,1
CN42581721,2873116504,S4,27-06-2000,ACT1,1-10,C8,0
CN93750401,9053423965,S4,14-07-2000,ACT2,1-10,C9,0
CN60847650,2472185179,S4,29-09-2000,ACT3,1-10,C10,1
CN80923513,2428203149,S4,04-03-2000,ACT4,1-10,C1,1
CN36377566,6850706989,S4,17-04-2000,ACT5,1-10,C2,1
CN35572630,5058498110,S4,28-06-2000,ACT1,1-10,C3,1
CN61674853,8273034114,S4,15-05-2000,ACT2,1-10,C4,0
CN27253482,3321866850,S4,09-02-2000,ACT3,1-10,C5,0
CN97710845,5265982102,S4,19-08-2000,ACT4,1-10,C6,1
CN33297864,8544920321,S4,28-08-2000,ACT5,1-10,C7,1
CN54983378,6304531512,S4,27-06-2000,ACT1,1-10,C8,0
CN88663590,6795638492,S4,14-07-2000,ACT2,1-10,C9,0
CN61346026,2731180260,S4,29-09-2000,ACT3,1-10,C10,1
CN98427340,9954824974,S4,04-03-2000,ACT4,1-10,C1,1
CN77208790,5470849500,S4,17-04-2000,ACT5,1-10,C2,1
CN48786238,6789555566,S4,28-06-2000,ACT1,1-10,C3,1
CN44175679,9441842719,S4,15-05-2000,ACT2,1-10,C4,0
CN31441981,7506362300,S4,09-02-2000,ACT3,1-10,C5,0
CN22804835,6218819497,S4,19-08-2000,ACT4,1-10,C6,1
CN31394747,7005521995,S4,28-08-2000,ACT5,1-10,C7,1
CN46437237,9057952042,S4,27-06-2000,ACT1,1-10,C8,0
CN77470446,2470032434,S4,14-07-2000,ACT2,1-10,C9,0
CN72200274,5764240005,S4,29-09-2000,ACT3,1-10,C10,1
CN86671643,3815837904,S4,04-03-2000,ACT4,1-10,C1,1
CN91939927,9511166535,S4,17-04-2000,ACT5,1-10,C2,1
CN56187585,4218130422,S4,28-06-2000,ACT1,1-10,C3,1
CN39591699,3195338384,S4,15-05-2000,ACT2,1-10,C4,0
CN26949116,9456526930,S4,09-02-2000,ACT3,1-10,C5,0
CN84622411,5556641400,S4,19-08-2000,ACT4,1-10,C6,1
CN48363600,4291479860,S4,28-08-2000,ACT5,1-10,C7,1
CN76090605,7998694591,S4,27-06-2000,ACT1,1-10,C8,0
CN87942132,5480551359,S4,14-07-2000,ACT2,1-10,C9,0
CN64853393,9854298109,S4,29-09-2000,ACT3,1-10,C10,1
CN44722743,6961257155,S4,04-03-2000,ACT4,1-10,C1,1
CN96556386,2913419662,S4,17-04-2000,ACT5,1-10,C2,1
CN34751909,6270543676,S4,28-06-2000,ACT1,1-10,C3,1
CN51333997,6920022864,S4,15-05-2000,ACT2,1-10,C4,0
CN89949610,3597023721,S4,09-02-2000,ACT3,1-10,C5,0
CN97008225,2356595986,S4,19-08-2000,ACT4,1-10,C6,1
CN99400903,4920100675,S4,28-08-2000,ACT5,1-10,C7,1
CN51213486,4914429017,S4,27-06-2000,ACT1,1-10,C8,0
CN24131814,2657169106,S4,14-07-2000,ACT2,1-10,C9,0
CN32273602,9099137797,S4,29-09-2000,ACT3,1-10,C10,1
CN52516852,3336983611,S4,04-03-2000,ACT4,1-10,C1,1
CN26389655,2699094471,S4,17-04-2000,ACT5,1-10,C2,1
CN49935519,8004687324,S4,28-06-2000,ACT1,1-10,C3,1
CN28015736,3641344302,S4,15-05-2000,ACT2,1-10,C4,0
CN35984708,8252552283,S4,09-02-2000,ACT3,1-10,C5,0
CN91495568,3217946278,S4,19-08-2000,ACT4,1-10,C6,1
CN70361441,5475340369,S4,28-08-2000,ACT5,1-10,C7,1
CN51230399,5841245760,S4,27-06-2000,ACT1,1-10,C8,0
CN99976699,9093042712,S4,14-07-2000,ACT2,1-10,C9,0
CN58576579,8102270184,S4,29-09-2000,ACT3,1-10,C10,1
CN50166046,7391871065,S4,04-03-2000,ACT4,1-10,C1,1
CN73785956,4579945714,S4,17-04-2000,ACT5,1-10,C2,1
CN23697470,5455393722,S4,28-06-2000,ACT1,1-10,C3,1
CN74506855,7659350878,S4,15-05-2000,ACT2,1-10,C4,0
CN94584689,2432560282,S4,09-02-2000,ACT3,1-10,C5,0
CN45948346,2724610774,S4,19-08-2000,ACT4,1-10,C6,1
CN69414545,4052746048,S4,28-08-2000,ACT5,1-10,C7,1
CN58366860,4871453152,S4,27-06-2000,ACT1,1-10,C8,0
CN37330397,5669411264,S4,14-07-2000,ACT2,1-10,C9,0
CN29394894,6985164936,S4,29-09-2000,ACT3,1-10,C10,1
CN38030632,7749192617,S4,04-03-2000,ACT4,1-10,C1,1
CN40247434,2325984507,S4,17-04-2000,ACT5,1-10,C2,1
CN23930841,3790575665,S4,28-06-2000,ACT1,1-10,C3,1
CN43812014,4095886016,S4,15-05-2000,ACT2,1-10,C4,0
CN93962782,6198602210,S4,09-02-2000,ACT3,1-10,C5,0
CN87384374,4680950317,S4,19-08-2000,ACT4,1-10,C6,1
CN52783137,2470219446,S5,28-08-2000,ACT1,1-10,C7,1
CN80815765,6866855594,S5,27-06-2000,ACT2,1-10,C8,0
CN84557765,5641871948,S5,14-07-2000,ACT3,1-10,C9,0
CN54523935,8875172179,S5,29-09-2000,ACT4,1-10,C10,1
CN76259713,9042859537,S5,04-03-2000,ACT5,1-10,C1,1
CN62522527,8751512389,S5,17-04-2000,ACT1,1-10,C2,1
CN67655352,9159732172,S5,28-06-2000,ACT2,1-10,C3,1
CN67040190,5354744802,S5,15-05-2000,ACT3,1-10,C4,0
CN54175389,6989559766,S5,09-02-2000,ACT4,1-10,C5,0
CN38104931,6107980338,S5,19-08-2000,ACT5,1-10,C6,1
CN87030854,7516774719,S5,28-08-2000,ACT1,1-10,C7,1
CN73133467,3612623122,S5,27-06-2000,ACT2,1-10,C8,0
CN38355754,6459682954,S5,14-07-2000,ACT3,1-10,C9,0
CN36743146,5777170304,S5,29-09-2000,ACT4,1-10,C10,1
CN93275086,8730521896,S5,04-03-2000,ACT5,1-10,C1,1
CN96732169,8891648524,S5,17-04-2000,ACT1,1-10,C2,1
CN58512348,2623774964,S5,28-06-2000,ACT2,1-10,C3,1
CN24200472,8444376207,S5,15-05-2000,ACT3,1-10,C4,0
CN25027865,7463187791,S5,09-02-2000,ACT4,1-10,C5,0
CN48482791,7114451423,S5,19-08-2000,ACT5,1-10,C6,1
CN88670992,7477656051,S5,28-08-2000,ACT1,1-10,C7,1
CN28098621,5007756988,S5,27-06-2000,ACT2,1-10,C8,0
CN84781290,6821983097,S5,14-07-2000,ACT3,1-10,C9,0
CN22959182,4573951312,S5,29-09-2000,ACT4,1-10,C10,1
CN38199191,4694966299,S5,04-03-2000,ACT5,1-10,C1,1
CN71350356,4544098644,S5,17-04-2000,ACT1,1-10,C2,1
CN31127096,9498745569,S5,28-06-2000,ACT2,1-10,C3,1
CN90632461,2537108933,S5,15-05-2000,ACT3,1-10,C4,0
CN99911653,2316071679,S5,09-02-2000,ACT4,1-10,C5,0
CN69700751,8145938958,S5,19-08-2000,ACT5,1-10,C6,1
CN39145114,9343295093,S5,28-08-2000,ACT1,1-10,C7,1
CN86756692,3838742924,S5,27-06-2000,ACT2,1-10,C8,0
CN49126495,5658842229,S5,14-07-2000,ACT3,1-10,C9,0
CN59884633,3653986642,S5,29-09-2000,ACT4,1-10,C10,1
CN42929022,6426776947,S5,04-03-2000,ACT5,1-10,C1,1
CN39304366,8329697289,S5,17-04-2000,ACT1,1-10,C2,1
CN68171167,4484621417,S5,28-06-2000,ACT2,1-10,C3,1
CN51892398,3700939715,S5,15-05-2000,ACT3,1-10,C4,0
CN96322323,2698334545,S5,09-02-2000,ACT4,1-10,C5,0
CN74325385,9573620799,S5,19-08-2000,ACT5,1-10,C6,1
CN23591789,5002669403,S5,28-08-2000,ACT1,1-10,C7,1
CN62374638,6469703568,S5,27-06-2000,ACT2,1-10,C8,0
CN96389431,3035504041,S5,14-07-2000,ACT3,1-10,C9,0
CN42212368,8245608951,S5,29-09-2000,ACT4,1-10,C10,1
CN41301470,4040818603,S5,04-03-2000,ACT5,1-10,C1,1
CN69933319,5352132777,S5,17-04-2000,ACT1,1-10,C2,1
CN33459896,4592466206,S5,28-06-2000,ACT2,1-10,C3,1
CN80304484,7857074337,S5,15-05-2000,ACT3,1-10,C4,0
CN63393665,5991539417,S5,09-02-2000,ACT4,1-10,C5,0
CN51839329,2598987663,S5,19-08-2000,ACT5,1-10,C6,1
CN27916221,6788865617,S5,28-08-2000,ACT1,1-10,C7,1
CN55379063,4153814708,S5,27-06-2000,ACT2,1-10,C8,0
CN52476714,4188949602,S5,14-07-2000,ACT3,1-10,C9,0
CN54144959,8192524486,S5,29-09-2000,ACT4,1-10,C10,1
CN27680093,6949643375,S5,04-03-2000,ACT5,1-10,C1,1
CN90899535,9625945992,S5,17-04-2000,ACT1,1-10,C2,1
CN52618169,6544090186,S5,28-06-2000,ACT2,1-10,C3,1
CN80716298,3668237341,S5,15-05-2000,ACT3,1-10,C4,0
CN90315598,8818934323,S5,09-02-2000,ACT4,1-10,C5,0
CN96851428,9000991481,S5,19-08-2000,ACT5,1-10,C6,1
CN80523367,2441960504,S5,28-08-2000,ACT1,1-10,C7,1
CN36698134,6123806884,S5,27-06-2000,ACT2,1-10,C8,0
CN52282480,9240409475,S5,14-07-2000,ACT3,1-10,C9,0
CN43121093,6587886675,S5,29-09-2000,ACT4,1-10,C10,1
CN58338679,4226538523,S5,04-03-2000,ACT5,1-10,C1,1
CN97112776,8702309907,S5,17-04-2000,ACT1,1-10,C2,1
CN64867609,4295753554,S5,28-06-2000,ACT2,1-10,C3,1
CN86715259,9841802951,S5,15-05-2000,ACT3,1-10,C4,0
CN35921388,5625833994,S5,09-02-2000,ACT4,1-10,C5,0
CN71943158,4021773190,S5,19-08-2000,ACT5,1-10,C6,1
CN96670964,2244785228,S5,28-08-2000,ACT1,1-10,C7,1
CN96060991,9421281111,S5,27-06-2000,ACT2,1-10,C8,0
CN37741933,2309936582,S5,14-07-2000,ACT3,1-10,C9,0
CN32202366,8847245040,S5,29-09-2000,ACT4,1-10,C10,1
CN73814687,7138269184,S5,04-03-2000,ACT5,1-10,C1,1
CN30173370,8870806058,S5,17-04-2000,ACT1,1-10,C2,1
CN69025673,9819826000,S5,28-06-2000,ACT2,1-10,C3,1
CN89103650,7575264740,S5,15-05-2000,ACT3,1-10,C4,0
