   ,CUSTOMER_NUMBER,ACCOUNT_NUMBER,CUSTOMER_SEGMENT,ACTION_DATE,ACTION_STRATEGY,DPD_OF_ACTION,COLLECTOR_CODE,SUCCESSFUL_ACTION
199,CN30314308,4172603259,S1,14-07-2000,ACT4,1-10,C9,0
200,CN86865917,8360169544,S1,29-09-2000,ACT5,1-10,C10,1
241,CN55733801,5323481143,S1,04-03-2000,ACT1,1-10,C1,1
242,CN66733752,7627233259,S1,17-04-2000,ACT2,1-10,C2,1
243,CN25739296,6327376882,S1,28-06-2000,ACT3,1-10,C3,1
244,CN24956720,3241807653,S1,15-05-2000,ACT4,1-10,C4,0
245,CN36824994,8974788724,S1,09-02-2000,ACT5,1-10,C5,0
246,CN60507241,7635420366,S1,19-08-2000,ACT1,1-10,C6,1
247,CN97063511,4375413041,S1,28-08-2000,ACT2,1-10,C7,1
248,CN85333825,4768243849,S1,27-06-2000,ACT3,1-10,C8,0
249,CN33855594,4376948996,S1,14-07-2000,ACT4,1-10,C9,0
250,CN73407333,3064642384,S1,29-09-2000,ACT5,1-10,C10,1
291,CN39425877,9299381312,S1,04-03-2000,ACT1,1-10,C1,1
292,CN40121210,7820448513,S1,17-04-2000,ACT2,1-10,C2,1
293,CN81191619,9923952403,S1,28-06-2000,ACT3,1-10,C3,1
294,CN72101465,5357500592,S1,15-05-2000,ACT4,1-10,C4,0
295,CN55424673,4525048670,S1,09-02-2000,ACT5,1-10,C5,0
296,CN68894987,8795944566,S1,19-08-2000,ACT1,1-10,C6,1
297,CN95807924,2613785791,S1,28-08-2000,ACT2,1-10,C7,1
298,CN25759343,3986096888,S1,27-06-2000,ACT3,1-10,C8,0
299,CN61074798,4782637555,S1,14-07-2000,ACT4,1-10,C9,0
300,CN85230732,4656579294,S1,29-09-2000,ACT5,1-10,C10,1
341,CN33843200,6248777749,S1,04-03-2000,ACT1,1-10,C1,1
342,CN26329008,5455922942,S1,17-04-2000,ACT2,1-10,C2,1
343,CN59562218,4492726310,S1,28-06-2000,ACT3,1-10,C3,1
344,CN99510415,6051895797,S1,15-05-2000,ACT4,1-10,C4,0
345,CN77201346,4123625105,S1,09-02-2000,ACT5,1-10,C5,0
346,CN34742830,8804092220,S1,19-08-2000,ACT1,1-10,C6,1
347,CN80832925,4372798859,S1,28-08-2000,ACT2,1-10,C7,1
348,CN47456212,8908944779,S1,27-06-2000,ACT3,1-10,C8,0
349,CN42385309,2504918301,S1,14-07-2000,ACT4,1-10,C9,0
350,CN94597721,5066817440,S1,29-09-2000,ACT5,1-10,C10,1
396,CN59435836,8703528763,S1,04-03-2000,ACT1,1-10,C1,1
397,CN66969497,2501723092,S1,17-04-2000,ACT2,1-10,C2,1
398,CN81514490,8595693381,S1,28-06-2000,ACT3,1-10,C3,1
399,CN25296122,6554034988,S1,15-05-2000,ACT4,1-10,C4,0
400,CN36788554,3390799410,S1,09-02-2000,ACT5,1-10,C5,0
401,CN56067186,9677029797,S1,19-08-2000,ACT1,1-10,C6,1
402,CN24610752,9308860050,S1,28-08-2000,ACT2,1-10,C7,1
403,CN22973171,2801031312,S1,27-06-2000,ACT3,1-10,C8,0
404,CN92832054,7894279882,S1,14-07-2000,ACT4,1-10,C9,0
405,CN45496677,7990038523,S2,29-09-2000,ACT1,1-10,C10,1
421,CN78705088,2804266698,S2,04-03-2000,ACT2,1-10,C1,1
422,CN85587352,8123075954,S2,17-04-2000,ACT3,1-10,C2,1
423,CN95991185,6718217913,S2,28-06-2000,ACT4,1-10,C3,1
424,CN69095796,6442395625,S2,15-05-2000,ACT5,1-10,C4,0
425,CN37350593,5369548335,S2,09-02-2000,ACT1,1-10,C5,0
426,CN81310820,2449787110,S2,19-08-2000,ACT2,1-10,C6,1
427,CN59681694,3216001376,S2,28-08-2000,ACT3,1-10,C7,1
428,CN57393485,8500637342,S2,27-06-2000,ACT4,1-10,C8,0
429,CN62352004,4581597209,S2,14-07-2000,ACT5,1-10,C9,0
430,CN57692906,5833347965,S2,29-09-2000,ACT1,1-10,C10,1
471,CN47376486,4887959934,S2,04-03-2000,ACT2,1-10,C1,1
472,CN82461662,7079059255,S2,17-04-2000,ACT3,1-10,C2,1
473,CN51903439,5523416242,S2,28-06-2000,ACT4,1-10,C3,1
474,CN33166559,9417738038,S2,15-05-2000,ACT5,1-10,C4,0
475,CN60246236,6144346890,S2,09-02-2000,ACT1,1-10,C5,0
476,CN60836071,2327793194,S2,19-08-2000,ACT2,1-10,C6,1
477,CN47792923,4563458849,S2,28-08-2000,ACT3,1-10,C7,1
478,CN27032236,3609999975,S2,27-06-2000,ACT4,1-10,C8,0
479,CN53701368,4677045138,S2,14-07-2000,ACT5,1-10,C9,0
480,CN99228858,3044493961,S2,29-09-2000,ACT1,1-10,C10,1
521,CN97231865,5787560784,S2,04-03-2000,ACT2,1-10,C1,1
522,CN67597521,3123426217,S2,17-04-2000,ACT3,1-10,C2,1
523,CN91738871,2924411011,S2,28-06-2000,ACT4,1-10,C3,1
524,CN23618153,7591505659,S2,15-05-2000,ACT5,1-10,C4,0
525,CN59125159,5366922495,S2,09-02-2000,ACT1,1-10,C5,0
526,CN94449665,9660561521,S2,19-08-2000,ACT2,1-10,C6,1
527,CN45811461,9521450265,S2,28-08-2000,ACT3,1-10,C7,1
528,CN59514829,2637348530,S2,27-06-2000,ACT4,1-10,C8,0
529,CN94775090,3657125278,S2,14-07-2000,ACT5,1-10,C9,0
530,CN69486238,7261051397,S2,29-09-2000,ACT1,1-10,C10,1
576,CN42885457,9632889368,S2,04-03-2000,ACT2,1-10,C1,1
577,CN97029153,3147177303,S2,17-04-2000,ACT3,1-10,C2,1
578,CN89206923,7743092141,S2,28-06-2000,ACT4,1-10,C3,1
579,CN38407227,3499508435,S2,15-05-2000,ACT5,1-10,C4,0
580,CN88652564,3198234997,S2,09-02-2000,ACT1,1-10,C5,0
581,CN74353080,9768951833,S2,19-08-2000,ACT2,1-10,C6,1
582,CN40592538,2624556615,S2,28-08-2000,ACT3,1-10,C7,1
583,CN22997603,3929972895,S2,27-06-2000,ACT4,1-10,C8,0
584,CN26524618,7169090828,S2,14-07-2000,ACT5,1-10,C9,0
585,CN27788082,3370534782,S2,29-09-2000,ACT1,1-10,C10,1
616,CN98358748,9924865390,S2,04-03-2000,ACT2,1-10,C1,1
617,CN48151070,4597694904,S2,17-04-2000,ACT3,1-10,C2,1
618,CN92376564,6613176545,S2,28-06-2000,ACT4,1-10,C3,1
619,CN63457031,6348358906,S2,15-05-2000,ACT5,1-10,C4,0
620,CN71652842,9896957590,S2,09-02-2000,ACT1,1-10,C5,0
621,CN89213017,9970782166,S2,19-08-2000,ACT2,1-10,C6,1
622,CN61423117,7574990671,S2,28-08-2000,ACT3,1-10,C7,1
623,CN74611166,4660162343,S2,27-06-2000,ACT4,1-10,C8,0
624,CN33594124,7993897159,S2,14-07-2000,ACT5,1-10,C9,0
625,CN24643316,8231768304,S2,29-09-2000,ACT1,1-10,C10,1
666,CN69800455,7929758113,S2,04-03-2000,ACT2,1-10,C1,1
667,CN87395110,7527706782,S2,17-04-2000,ACT3,1-10,C2,1
668,CN68087373,7430036068,S2,28-06-2000,ACT4,1-10,C3,1
669,CN25245513,3484566151,S2,15-05-2000,ACT5,1-10,C4,0
670,CN27944467,8989741606,S2,09-02-2000,ACT1,1-10,C5,0
671,CN65479578,6762493120,S2,19-08-2000,ACT2,1-10,C6,1
672,CN30188048,9201865759,S2,28-08-2000,ACT3,1-10,C7,1
673,CN93274830,5832318125,S2,27-06-2000,ACT4,1-10,C8,0
674,CN40062887,3451212655,S2,14-07-2000,ACT5,1-10,C9,0
675,CN73168406,3169789255,S2,29-09-2000,ACT1,1-10,C10,1
726,CN57815930,3867672492,S2,04-03-2000,ACT2,1-10,C1,1
727,CN49700426,8259499789,S2,17-04-2000,ACT3,1-10,C2,1
728,CN64196557,5564084011,S2,28-06-2000,ACT4,1-10,C3,1
729,CN33814585,6689931773,S2,15-05-2000,ACT5,1-10,C4,0
730,CN86732068,7633419896,S2,09-02-2000,ACT1,1-10,C5,0
731,CN55598856,8433629796,S2,19-08-2000,ACT2,1-10,C6,1
732,CN68757073,6185866171,S2,28-08-2000,ACT3,1-10,C7,1
733,CN73052579,5202403401,S2,27-06-2000,ACT4,1-10,C8,0
734,CN38825993,3748153871,S2,14-07-2000,ACT5,1-10,C9,0
735,CN54775522,3820344429,S2,29-09-2000,ACT1,1-10,C10,1
781,CN53134793,3510377245,S2,04-03-2000,ACT2,1-10,C1,1
782,CN60128700,5513628205,S2,17-04-2000,ACT3,1-10,C2,1
783,CN25600358,6302707067,S2,28-06-2000,ACT4,1-10,C3,1
784,CN48859470,4468482783,S2,15-05-2000,ACT5,1-10,C4,0
785,CN57008601,4220656609,S2,09-02-2000,ACT1,1-10,C5,0
786,CN68625190,5842533201,S2,19-08-2000,ACT2,1-10,C6,1
787,CN88347246,7677345197,S2,28-08-2000,ACT3,1-10,C7,1
788,CN58902749,2258463333,S2,27-06-2000,ACT4,1-10,C8,0
789,CN36352365,7627743794,S3,14-07-2000,ACT1,1-10,C9,0
790,CN70326026,3564823252,S3,29-09-2000,ACT2,1-10,C10,1
831,CN97416288,8469619190,S3,04-03-2000,ACT3,1-10,C1,1
832,CN82880087,7915434048,S3,17-04-2000,ACT4,1-10,C2,1
833,CN42347540,6250747324,S3,28-06-2000,ACT5,1-10,C3,1
834,CN62349814,8552572198,S3,15-05-2000,ACT1,1-10,C4,0
835,CN37934060,7437375954,S3,09-02-2000,ACT2,1-10,C5,0
836,CN88999358,3519480473,S3,19-08-2000,ACT3,1-10,C6,1
837,CN51026412,7413778860,S3,28-08-2000,ACT4,1-10,C7,1
838,CN92475456,9268930671,S3,27-06-2000,ACT5,1-10,C8,0
839,CN26640474,3660739513,S3,14-07-2000,ACT1,1-10,C9,0
840,CN39683351,6705488792,S3,29-09-2000,ACT2,1-10,C10,1
901,CN80643327,6547286851,S3,04-03-2000,ACT3,1-10,C1,1
902,CN29194776,6250887831,S3,17-04-2000,ACT4,1-10,C2,1
903,CN74737135,5069097581,S3,28-06-2000,ACT5,1-10,C3,1
904,CN76315928,3918981792,S3,15-05-2000,ACT1,1-10,C4,0
905,CN47748721,3404080314,S3,09-02-2000,ACT2,1-10,C5,0
906,CN39104296,2762831029,S3,19-08-2000,ACT3,1-10,C6,1
907,CN51532246,3570333064,S3,28-08-2000,ACT4,1-10,C7,1
908,CN90019581,2993507780,S3,27-06-2000,ACT5,1-10,C8,0
909,CN32577620,6568907149,S3,14-07-2000,ACT1,1-10,C9,0
910,CN39630275,5451591071,S3,29-09-2000,ACT2,1-10,C10,1
951,CN81751009,2481617482,S3,04-03-2000,ACT3,1-10,C1,1
952,CN42738658,7872410900,S3,17-04-2000,ACT4,1-10,C2,1
953,CN67017505,4995932960,S3,28-06-2000,ACT5,1-10,C3,1
954,CN54751969,2520672826,S3,15-05-2000,ACT1,1-10,C4,0
955,CN26203769,4030850420,S3,09-02-2000,ACT2,1-10,C5,0
956,CN80215492,6130499647,S3,19-08-2000,ACT3,1-10,C6,1
957,CN53826461,6556627871,S3,28-08-2000,ACT4,1-10,C7,1
958,CN92889059,4901031526,S3,27-06-2000,ACT5,1-10,C8,0
959,CN69710923,5585103214,S3,14-07-2000,ACT1,1-10,C9,0
960,CN30734370,4420225101,S3,29-09-2000,ACT2,1-10,C10,1
996,CN52016444,6459060584,S3,04-03-2000,ACT3,1-10,C1,1
997,CN65127800,5230595552,S3,17-04-2000,ACT4,1-10,C2,1
998,CN37337824,4612431064,S3,28-06-2000,ACT5,1-10,C3,1
999,CN24025196,5064170665,S3,15-05-2000,ACT1,1-10,C4,0
1000,CN44993614,6880061024,S3,09-02-2000,ACT2,1-10,C5,0
1001,CN45480135,8505622806,S3,19-08-2000,ACT3,1-10,C6,1
1002,CN24810696,7952655095,S3,28-08-2000,ACT4,1-10,C7,1
1003,CN25659909,3073649636,S3,27-06-2000,ACT5,1-10,C8,0
1004,CN45913233,3262908052,S3,14-07-2000,ACT1,1-10,C9,0
1005,CN30739921,7503541578,S3,29-09-2000,ACT2,1-10,C10,1
1046,CN66742859,6336849164,S3,04-03-2000,ACT3,1-10,C1,1
1047,CN41038665,9997516529,S3,17-04-2000,ACT4,1-10,C2,1
1048,CN90509710,9052070093,S3,28-06-2000,ACT5,1-10,C3,1
1049,CN67522083,6734350549,S3,15-05-2000,ACT1,1-10,C4,0
1050,CN62499559,9253694312,S3,09-02-2000,ACT2,1-10,C5,0
1051,CN85838516,7254157745,S3,19-08-2000,ACT3,1-10,C6,1
1052,CN62420298,2980826005,S3,28-08-2000,ACT4,1-10,C7,1
1053,CN61168047,7010978095,S3,27-06-2000,ACT5,1-10,C8,0
1054,CN35356175,3177026350,S3,14-07-2000,ACT1,1-10,C9,0
1055,CN25817208,7683439892,S3,29-09-2000,ACT2,1-10,C10,1
1101,CN29725612,9126713285,S3,04-03-2000,ACT3,1-10,C1,1
1102,CN51829399,8862313132,S3,17-04-2000,ACT4,1-10,C2,1
1103,CN31773406,4186454177,S3,28-06-2000,ACT5,1-10,C3,1
1104,CN99228762,8417030969,S3,15-05-2000,ACT1,1-10,C4,0
1105,CN60871785,4092164062,S3,09-02-2000,ACT2,1-10,C5,0
1106,CN60633465,9298198837,S3,19-08-2000,ACT3,1-10,C6,1
1107,CN46551710,5186580855,S3,28-08-2000,ACT4,1-10,C7,1
1108,CN76670708,6301753611,S3,27-06-2000,ACT5,1-10,C8,0
1109,CN35651370,3400583049,S3,14-07-2000,ACT1,1-10,C9,0
1110,CN42872379,8062563667,S3,29-09-2000,ACT2,1-10,C10,1
1151,CN31539152,9033952759,S3,04-03-2000,ACT3,1-10,C1,1
1152,CN90084925,7959578376,S3,17-04-2000,ACT4,1-10,C2,1
1153,CN47562446,2619317052,S3,28-06-2000,ACT5,1-10,C3,1
1154,CN40563885,4636933231,S3,15-05-2000,ACT1,1-10,C4,0
1155,CN50652040,5760689767,S3,09-02-2000,ACT2,1-10,C5,0
1156,CN29215968,6490291372,S3,19-08-2000,ACT3,1-10,C6,1
1157,CN87678816,6833749630,S3,28-08-2000,ACT4,1-10,C7,1
1158,CN50820512,8855937528,S3,27-06-2000,ACT5,1-10,C8,0
1159,CN72069661,4101113728,S3,14-07-2000,ACT1,1-10,C9,0
1160,CN61057467,5810602827,S3,29-09-2000,ACT2,1-10,C10,1
1221,CN64384715,3285808979,S3,04-03-2000,ACT3,1-10,C1,1
1222,CN67627672,2813471883,S3,17-04-2000,ACT4,1-10,C2,1
1223,CN80792356,5612284566,S3,28-06-2000,ACT5,1-10,C3,1
1224,CN50752499,3740781339,S3,15-05-2000,ACT1,1-10,C4,0
1225,CN92650445,2875562457,S3,09-02-2000,ACT2,1-10,C5,0
1226,CN75982947,9860641809,S3,19-08-2000,ACT3,1-10,C6,1
1227,CN97698090,6350876180,S3,28-08-2000,ACT4,1-10,C7,1
1228,CN77967285,8556621079,S4,27-06-2000,ACT1,1-10,C8,0
1229,CN67367812,7114823493,S4,14-07-2000,ACT2,1-10,C9,0
1230,CN30309528,8441036240,S4,29-09-2000,ACT3,1-10,C10,1
1271,CN81927136,3003551336,S4,04-03-2000,ACT4,1-10,C1,1
1272,CN84684616,7545914895,S4,17-04-2000,ACT5,1-10,C2,1
1273,CN76176232,4018822486,S4,28-06-2000,ACT1,1-10,C3,1
1274,CN88789858,9348763289,S4,15-05-2000,ACT2,1-10,C4,0
1275,CN35271220,3655901575,S4,09-02-2000,ACT3,1-10,C5,0
1276,CN41141847,8460624308,S4,19-08-2000,ACT4,1-10,C6,1
1277,CN52795234,5965760192,S4,28-08-2000,ACT5,1-10,C7,1
1278,CN42581721,2873116504,S4,27-06-2000,ACT1,1-10,C8,0
1279,CN93750401,9053423965,S4,14-07-2000,ACT2,1-10,C9,0
1280,CN60847650,2472185179,S4,29-09-2000,ACT3,1-10,C10,1
1321,CN80923513,2428203149,S4,04-03-2000,ACT4,1-10,C1,1
1322,CN36377566,6850706989,S4,17-04-2000,ACT5,1-10,C2,1
1323,CN35572630,5058498110,S4,28-06-2000,ACT1,1-10,C3,1
1324,CN61674853,8273034114,S4,15-05-2000,ACT2,1-10,C4,0
1325,CN27253482,3321866850,S4,09-02-2000,ACT3,1-10,C5,0
1326,CN97710845,5265982102,S4,19-08-2000,ACT4,1-10,C6,1
1327,CN33297864,8544920321,S4,28-08-2000,ACT5,1-10,C7,1
1328,CN54983378,6304531512,S4,27-06-2000,ACT1,1-10,C8,0
1329,CN88663590,6795638492,S4,14-07-2000,ACT2,1-10,C9,0
1330,CN61346026,2731180260,S4,29-09-2000,ACT3,1-10,C10,1
1371,CN98427340,9954824974,S4,04-03-2000,ACT4,1-10,C1,1
1372,CN77208790,5470849500,S4,17-04-2000,ACT5,1-10,C2,1
1373,CN48786238,6789555566,S4,28-06-2000,ACT1,1-10,C3,1
1374,CN44175679,9441842719,S4,15-05-2000,ACT2,1-10,C4,0
1375,CN31441981,7506362300,S4,09-02-2000,ACT3,1-10,C5,0
1376,CN22804835,6218819497,S4,19-08-2000,ACT4,1-10,C6,1
1377,CN31394747,7005521995,S4,28-08-2000,ACT5,1-10,C7,1
1378,CN46437237,9057952042,S4,27-06-2000,ACT1,1-10,C8,0
1379,CN77470446,2470032434,S4,14-07-2000,ACT2,1-10,C9,0
1380,CN72200274,5764240005,S4,29-09-2000,ACT3,1-10,C10,1
1421,CN86671643,3815837904,S4,04-03-2000,ACT4,1-10,C1,1
1422,CN91939927,9511166535,S4,17-04-2000,ACT5,1-10,C2,1
1423,CN56187585,4218130422,S4,28-06-2000,ACT1,1-10,C3,1
1424,CN39591699,3195338384,S4,15-05-2000,ACT2,1-10,C4,0
1425,CN26949116,9456526930,S4,09-02-2000,ACT3,1-10,C5,0
1426,CN84622411,5556641400,S4,19-08-2000,ACT4,1-10,C6,1
1427,CN48363600,4291479860,S4,28-08-2000,ACT5,1-10,C7,1
1428,CN76090605,7998694591,S4,27-06-2000,ACT1,1-10,C8,0
1429,CN87942132,5480551359,S4,14-07-2000,ACT2,1-10,C9,0
1430,CN64853393,9854298109,S4,29-09-2000,ACT3,1-10,C10,1
1476,CN44722743,6961257155,S4,04-03-2000,ACT4,1-10,C1,1
1477,CN96556386,2913419662,S4,17-04-2000,ACT5,1-10,C2,1
1478,CN34751909,6270543676,S4,28-06-2000,ACT1,1-10,C3,1
1479,CN51333997,6920022864,S4,15-05-2000,ACT2,1-10,C4,0
1480,CN89949610,3597023721,S4,09-02-2000,ACT3,1-10,C5,0
1481,CN97008225,2356595986,S4,19-08-2000,ACT4,1-10,C6,1
1482,CN99400903,4920100675,S4,28-08-2000,ACT5,1-10,C7,1
1483,CN51213486,4914429017,S4,27-06-2000,ACT1,1-10,C8,0
1484,CN24131814,2657169106,S4,14-07-2000,ACT2,1-10,C9,0
1485,CN32273602,9099137797,S4,29-09-2000,ACT3,1-10,C10,1
1501,CN52516852,3336983611,S4,04-03-2000,ACT4,1-10,C1,1
1502,CN26389655,2699094471,S4,17-04-2000,ACT5,1-10,C2,1
1503,CN49935519,8004687324,S4,28-06-2000,ACT1,1-10,C3,1
1504,CN28015736,3641344302,S4,15-05-2000,ACT2,1-10,C4,0
1505,CN35984708,8252552283,S4,09-02-2000,ACT3,1-10,C5,0
1506,CN91495568,3217946278,S4,19-08-2000,ACT4,1-10,C6,1
1507,CN70361441,5475340369,S4,28-08-2000,ACT5,1-10,C7,1
1508,CN51230399,5841245760,S4,27-06-2000,ACT1,1-10,C8,0
1509,CN99976699,9093042712,S4,14-07-2000,ACT2,1-10,C9,0
1510,CN58576579,8102270184,S4,29-09-2000,ACT3,1-10,C10,1
1551,CN50166046,7391871065,S4,04-03-2000,ACT4,1-10,C1,1
1552,CN73785956,4579945714,S4,17-04-2000,ACT5,1-10,C2,1
1553,CN23697470,5455393722,S4,28-06-2000,ACT1,1-10,C3,1
1554,CN74506855,7659350878,S4,15-05-2000,ACT2,1-10,C4,0
1555,CN94584689,2432560282,S4,09-02-2000,ACT3,1-10,C5,0
1556,CN45948346,2724610774,S4,19-08-2000,ACT4,1-10,C6,1
1557,CN69414545,4052746048,S4,28-08-2000,ACT5,1-10,C7,1
1558,CN58366860,4871453152,S4,27-06-2000,ACT1,1-10,C8,0
1559,CN37330397,5669411264,S4,14-07-2000,ACT2,1-10,C9,0
1560,CN29394894,6985164936,S4,29-09-2000,ACT3,1-10,C10,1
1601,CN38030632,7749192617,S4,04-03-2000,ACT4,1-10,C1,1
1602,CN40247434,2325984507,S4,17-04-2000,ACT5,1-10,C2,1
1603,CN23930841,3790575665,S4,28-06-2000,ACT1,1-10,C3,1
1604,CN43812014,4095886016,S4,15-05-2000,ACT2,1-10,C4,0
1605,CN93962782,6198602210,S4,09-02-2000,ACT3,1-10,C5,0
1606,CN87384374,4680950317,S4,19-08-2000,ACT4,1-10,C6,1
1607,CN52783137,2470219446,S5,28-08-2000,ACT1,1-10,C7,1
1608,CN80815765,6866855594,S5,27-06-2000,ACT2,1-10,C8,0
1609,CN84557765,5641871948,S5,14-07-2000,ACT3,1-10,C9,0
1610,CN54523935,8875172179,S5,29-09-2000,ACT4,1-10,C10,1
1656,CN76259713,9042859537,S5,04-03-2000,ACT5,1-10,C1,1
1657,CN62522527,8751512389,S5,17-04-2000,ACT1,1-10,C2,1
1658,CN67655352,9159732172,S5,28-06-2000,ACT2,1-10,C3,1
1659,CN67040190,5354744802,S5,15-05-2000,ACT3,1-10,C4,0
1660,CN54175389,6989559766,S5,09-02-2000,ACT4,1-10,C5,0
1661,CN38104931,6107980338,S5,19-08-2000,ACT5,1-10,C6,1
1662,CN87030854,7516774719,S5,28-08-2000,ACT1,1-10,C7,1
1663,CN73133467,3612623122,S5,27-06-2000,ACT2,1-10,C8,0
1664,CN38355754,6459682954,S5,14-07-2000,ACT3,1-10,C9,0
1665,CN36743146,5777170304,S5,29-09-2000,ACT4,1-10,C10,1
1696,CN93275086,8730521896,S5,04-03-2000,ACT5,1-10,C1,1
1697,CN96732169,8891648524,S5,17-04-2000,ACT1,1-10,C2,1
1698,CN58512348,2623774964,S5,28-06-2000,ACT2,1-10,C3,1
1699,CN24200472,8444376207,S5,15-05-2000,ACT3,1-10,C4,0
1700,CN25027865,7463187791,S5,09-02-2000,ACT4,1-10,C5,0
1701,CN48482791,7114451423,S5,19-08-2000,ACT5,1-10,C6,1
1702,CN88670992,7477656051,S5,28-08-2000,ACT1,1-10,C7,1
1703,CN28098621,5007756988,S5,27-06-2000,ACT2,1-10,C8,0
1704,CN84781290,6821983097,S5,14-07-2000,ACT3,1-10,C9,0
1705,CN22959182,4573951312,S5,29-09-2000,ACT4,1-10,C10,1
1746,CN38199191,4694966299,S5,04-03-2000,ACT5,1-10,C1,1
1747,CN71350356,4544098644,S5,17-04-2000,ACT1,1-10,C2,1
1748,CN31127096,9498745569,S5,28-06-2000,ACT2,1-10,C3,1
1749,CN90632461,2537108933,S5,15-05-2000,ACT3,1-10,C4,0
1750,CN99911653,2316071679,S5,09-02-2000,ACT4,1-10,C5,0
1751,CN69700751,8145938958,S5,19-08-2000,ACT5,1-10,C6,1
1752,CN39145114,9343295093,S5,28-08-2000,ACT1,1-10,C7,1
1753,CN86756692,3838742924,S5,27-06-2000,ACT2,1-10,C8,0
1754,CN49126495,5658842229,S5,14-07-2000,ACT3,1-10,C9,0
1755,CN59884633,3653986642,S5,29-09-2000,ACT4,1-10,C10,1
1796,CN42929022,6426776947,S5,04-03-2000,ACT5,1-10,C1,1
1797,CN39304366,8329697289,S5,17-04-2000,ACT1,1-10,C2,1
1798,CN68171167,4484621417,S5,28-06-2000,ACT2,1-10,C3,1
1799,CN51892398,3700939715,S5,15-05-2000,ACT3,1-10,C4,0
1800,CN96322323,2698334545,S5,09-02-2000,ACT4,1-10,C5,0
1801,CN74325385,9573620799,S5,19-08-2000,ACT5,1-10,C6,1
1802,CN23591789,5002669403,S5,28-08-2000,ACT1,1-10,C7,1
1803,CN62374638,6469703568,S5,27-06-2000,ACT2,1-10,C8,0
1804,CN96389431,3035504041,S5,14-07-2000,ACT3,1-10,C9,0
1805,CN42212368,8245608951,S5,29-09-2000,ACT4,1-10,C10,1
1841,CN41301470,4040818603,S5,04-03-2000,ACT5,1-10,C1,1
1842,CN69933319,5352132777,S5,17-04-2000,ACT1,1-10,C2,1
1843,CN33459896,4592466206,S5,28-06-2000,ACT2,1-10,C3,1
1844,CN80304484,7857074337,S5,15-05-2000,ACT3,1-10,C4,0
1845,CN63393665,5991539417,S5,09-02-2000,ACT4,1-10,C5,0
1846,CN51839329,2598987663,S5,19-08-2000,ACT5,1-10,C6,1
1847,CN27916221,6788865617,S5,28-08-2000,ACT1,1-10,C7,1
